,DATE,CUMULATIVE_COMPACTION,site,data_version
0,7/13/1973,0.0,TexasCity,2023
1,8/13/1973,0.007,TexasCity,2023
2,9/13/1973,0.005,TexasCity,2023
3,10/11/1973,0.01,TexasCity,2023
4,11/8/1973,0.012,TexasCity,2023
5,12/6/1973,0.015,TexasCity,2023
6,1/3/1974,0.018,TexasCity,2023
7,2/4/1974,0.021,TexasCity,2023
8,3/7/1974,0.025,TexasCity,2023
9,4/4/1974,0.026,TexasCity,2023
10,5/3/1974,0.029,TexasCity,2023
11,6/3/1974,0.033,TexasCity,2023
12,7/1/1974,0.041,TexasCity,2023
13,7/30/1974,0.05,TexasCity,2023
14,8/30/1974,0.048,TexasCity,2023
15,9/30/1974,0.055,TexasCity,2023
16,10/30/1974,0.059,TexasCity,2023
17,11/27/1974,0.057,TexasCity,2023
18,12/27/1974,0.057,TexasCity,2023
19,1/24/1975,0.06,TexasCity,2023
20,4/24/1975,0.07,TexasCity,2023
21,5/23/1975,0.072,TexasCity,2023
22,6/23/1975,0.075,TexasCity,2023
23,7/22/1975,0.08,TexasCity,2023
24,8/20/1975,0.084,TexasCity,2023
25,9/19/1975,0.084,TexasCity,2023
26,10/20/1975,0.093,TexasCity,2023
27,10/25/1975,0.092,TexasCity,2023
28,10/26/1975,0.087,TexasCity,2023
29,11/20/1975,0.089,TexasCity,2023
30,12/22/1975,0.091,TexasCity,2023
31,1/21/1976,0.093,TexasCity,2023
32,2/20/1976,0.096,TexasCity,2023
33,3/22/1976,0.099,TexasCity,2023
34,4/21/1976,0.105,TexasCity,2023
35,5/21/1976,0.108,TexasCity,2023
36,6/21/1976,0.108,TexasCity,2023
37,7/19/1976,0.109,TexasCity,2023
38,8/17/1976,0.121,TexasCity,2023
39,9/15/1976,0.124,TexasCity,2023
40,10/12/1976,0.121,TexasCity,2023
41,11/9/1976,0.119,TexasCity,2023
42,12/7/1976,0.116,TexasCity,2023
43,1/4/1977,0.117,TexasCity,2023
44,2/1/1977,0.124,TexasCity,2023
45,3/1/1977,0.127,TexasCity,2023
46,3/29/1977,0.13,TexasCity,2023
47,4/26/1977,0.132,TexasCity,2023
48,5/24/1977,0.134,TexasCity,2023
49,6/21/1977,0.14,TexasCity,2023
50,7/19/1977,0.147,TexasCity,2023
51,8/16/1977,0.149,TexasCity,2023
52,9/14/1977,0.143,TexasCity,2023
53,10/11/1977,0.142,TexasCity,2023
54,11/7/1977,0.142,TexasCity,2023
55,12/6/1977,0.143,TexasCity,2023
56,1/3/1978,0.143,TexasCity,2023
57,2/1/1978,0.14,TexasCity,2023
58,2/28/1978,0.142,TexasCity,2023
59,3/28/1978,0.147,TexasCity,2023
60,4/25/1978,0.151,TexasCity,2023
61,5/23/1978,0.157,TexasCity,2023
62,6/20/1978,0.158,TexasCity,2023
63,7/19/1978,0.166,TexasCity,2023
64,8/15/1978,0.167,TexasCity,2023
65,9/13/1978,0.17,TexasCity,2023
66,10/10/1978,0.171,TexasCity,2023
67,11/7/1978,0.175,TexasCity,2023
68,12/5/1978,0.174,TexasCity,2023
69,1/3/1979,0.177,TexasCity,2023
70,1/30/1979,0.173,TexasCity,2023
71,2/27/1979,0.174,TexasCity,2023
72,3/27/1979,0.175,TexasCity,2023
73,4/23/1979,0.175,TexasCity,2023
74,5/22/1979,0.176,TexasCity,2023
