,SITE_NO,STATION_NM,COMPACTION_INTERVAL,ANCHOR_DEPTH,DEC_LONG_VA,DEC_LAT_VA,GENERAL_NM,name_condensed
0,294726095351102,LJ-65-12-726 (Addicks Extensometer),CHICOT AND EVANGELINE,1802,-95.5861,29.7907,Addicks,Addicks
1,292458094534206,KH-64-33-920 (Texas City Extensometer),CHICOT,800,-94.895,29.4163,Texas City,TexasCity
2,294338095270402,LJ-65-21-226 (Southwest Extensometer),CHICOT AND EVANGELINE,2358,-95.4508,29.727,Southwest,Southwest
3,293352095011601,LJ-65-32-625 (Seabrook Extensometer),CHICOT,1381,-95.0215,29.564800000000005,Seabrook,Seabrook
4,294237095093204,LJ-65-23-322 (Pasadena Extensometer),CHICOT AND EVANGELINE,2831,-95.1593,29.7102,Pasadena,Pasadena
5,294728095200106,LJ-65-14-746 (Northeast Extensometer),CHICOT AND EVANGELINE,2170,-95.334,29.7909,Northeast,Northeast
6,295449095084105,LJ-65-07-909 (Lake Houston Extensometer),CHICOT AND EVANGELINE,2592,-95.1455,29.913200000000003,Lake Houston,LakeHouston
7,293306095054101,LJ-65-32-401 (NASA Extensometer),CHICOT,770,-95.096,29.551900000000003,Johnson Space Center,JohnsonSpaceCenter
8,294206095162601,LJ-65-22-622 (East End Extensometer),CHICOT,995,-95.2741,29.7017,East End,EastEnd
9,293349095070901,LJ-65-32-424 (Clear Lake Shallow Extensometer),CHICOT,1740,-95.1193,29.5638,Clear Lake Shallow,ClearLakeShallow
10,293348095070604,LJ-65-32-428 (Clear Lake Deep Extensometer),CHICOT AND EVANGELINE,3072,-95.1189,29.5634,Clear Lake Deep,ClearLakeDeep
11,294527095014910,LJ-65-16-930 (Baytown C-1 Extensometer),CHICOT,431,-95.0307,29.75784,Baytown Shallow,BaytownShallow
12,294527095014911,LJ-65-16-931 (Baytown C-2 Extensometer),CHICOT,1475,-95.0307,29.75784,Baytown Deep,BaytownDeep
13,294327095445201,JY-65-29-106 (Fort Bend Extensometer),CHICOT AND EVANGELINE,2000,-95.7478,29.7242,Fort Bend,FortBend
