DATE,CUMULATIVE_COMPACTION
7/20/1973,0.0
7/25/1973,0.002
8/13/1973,0.003
9/4/1973,0.016
9/6/1973,0.014
9/13/1973,0.02
10/11/1973,0.033
10/19/1973,0.033
10/30/1973,0.04
10/31/1973,0.039
11/8/1973,0.045
12/6/1973,0.057
1/3/1974,0.065
2/5/1974,0.076
3/7/1974,0.091
4/4/1974,0.101
5/3/1974,0.115
6/3/1974,0.13
7/1/1974,0.142
7/30/1974,0.159
8/30/1974,0.173
9/30/1974,0.19
10/30/1974,0.201
11/27/1974,0.209
12/27/1974,0.221
1/24/1975,0.229
2/21/1975,0.241
3/24/1975,0.254
4/23/1975,0.265
5/23/1975,0.278
6/23/1975,0.29
7/22/1975,0.302
8/20/1975,0.313
9/19/1975,0.325
10/20/1975,0.346
11/21/1975,0.356
12/22/1975,0.37
1/21/1976,0.38
2/20/1976,0.393
3/22/1976,0.404
4/21/1976,0.416
5/21/1976,0.427
6/21/1976,0.434
7/19/1976,0.444
8/16/1976,0.46
9/14/1976,0.474
10/12/1976,0.484
11/9/1976,0.492
12/7/1976,0.497
1/4/1977,0.505
2/1/1977,0.516
3/1/1977,0.527
3/29/1977,0.535
4/26/1977,0.545
5/24/1977,0.557
6/21/1977,0.572
7/19/1977,0.583
8/16/1977,0.591
9/13/1977,0.598
10/11/1977,0.609
11/11/1977,0.615
12/6/1977,0.619
1/3/1978,0.622
2/2/1978,0.624
2/28/1978,0.629
3/28/1978,0.637
4/25/1978,0.645
5/23/1978,0.657
6/20/1978,0.664
7/19/1978,0.676
8/15/1978,0.684
9/13/1978,0.691
10/10/1978,0.698
11/7/1978,0.707
12/5/1978,0.71
1/3/1979,0.715
1/31/1979,0.719
2/27/1979,0.725
3/29/1979,0.733
4/23/1979,0.737
5/22/1979,0.744
6/19/1979,0.748
7/17/1979,0.756
7/25/1979,0.756
7/28/1979,0.752
8/18/1979,0.755
9/11/1979,0.76
9/17/1979,0.763
9/20/1979,0.76
10/9/1979,0.767
11/8/1979,0.771
12/5/1979,0.775
1/2/1980,0.777
2/5/1980,0.779
3/4/1980,0.785
4/1/1980,0.789
4/29/1980,0.795
5/27/1980,0.8
6/24/1980,0.808
7/22/1980,0.822
8/19/1980,0.829
9/15/1980,0.833
10/15/1980,0.836
11/10/1980,0.843
12/8/1980,0.847
1/5/1981,0.852
2/4/1981,0.856
3/2/1981,0.86
3/30/1981,0.864
4/27/1981,0.871
5/26/1981,0.873
6/23/1981,0.875
7/20/1981,0.877
8/17/1981,0.883
9/15/1981,0.886
10/13/1981,0.888
11/12/1981,0.892
12/8/1981,0.894
1/5/1982,0.896
2/3/1982,0.899
3/1/1982,0.901
3/31/1982,0.909
4/27/1982,0.911
5/25/1982,0.911
6/22/1982,0.916
7/20/1982,0.926
8/17/1982,0.931
9/15/1982,0.954
10/13/1982,0.982
11/9/1982,0.992
12/8/1982,0.966
1/3/1983,0.965
2/1/1983,0.969
3/2/1983,0.974
3/29/1983,0.977
4/26/1983,0.983
5/24/1983,0.983
6/22/1983,0.988
7/19/1983,0.989
8/16/1983,0.994
9/13/1983,0.999
10/13/1983,1.01
11/8/1983,1.007
12/6/1983,1.007
1/3/1984,1.011
1/31/1984,1.015
2/28/1984,1.018
3/26/1984,1.021
4/24/1984,1.028
5/21/1984,1.04
6/19/1984,1.045
7/17/1984,1.054
8/14/1984,1.047
9/11/1984,1.064
10/9/1984,1.076
11/6/1984,1.058
12/5/1984,1.061
1/2/1985,1.062
1/29/1985,1.063
2/26/1985,1.063
3/26/1985,1.065
4/23/1985,1.075
5/21/1985,1.081
6/19/1985,1.09
7/16/1985,1.1
8/13/1985,1.115
9/10/1985,1.111
10/8/1985,1.105
11/5/1985,1.099
12/3/1985,1.101
12/19/1985,1.102
1/16/1986,1.106
2/13/1986,1.107
3/13/1986,1.109
4/10/1986,1.123
5/8/1986,1.129
6/5/1986,1.121
7/3/1986,1.133
7/31/1986,1.173
8/28/1986,1.165
9/25/1986,1.137
10/24/1986,1.136
11/20/1986,1.137
12/18/1986,1.134
1/15/1987,1.136
2/11/1987,1.138
3/6/1987,1.137
4/2/1987,1.139
5/1/1987,1.155
5/28/1987,1.172
6/25/1987,1.157
7/23/1987,1.165
8/20/1987,1.211
9/17/1987,1.211
10/15/1987,1.213
11/12/1987,1.216
12/9/1987,1.206
1/7/1988,1.191
2/8/1988,1.191
3/3/1988,1.19
3/31/1988,1.183
4/28/1988,1.188
5/26/1988,1.191
6/23/1988,1.193
7/21/1988,1.196
8/18/1988,1.196
9/14/1988,1.202
10/13/1988,1.202
11/9/1988,1.205
12/8/1988,1.208
1/5/1989,1.209
2/2/1989,1.203
3/2/1989,1.205
3/29/1989,1.207
4/26/1989,1.211
5/23/1989,1.21
6/22/1989,1.214
7/20/1989,1.214
8/17/1989,1.216
9/15/1989,1.218
10/12/1989,1.22
11/8/1989,1.218
12/7/1989,1.221
1/4/1990,1.223
2/1/1990,1.223
3/1/1990,1.225
4/26/1990,1.23
5/24/1990,1.232
6/21/1990,1.24
7/19/1990,1.245
8/16/1990,1.251
9/13/1990,1.249
10/11/1990,1.251
11/8/1990,1.251
12/6/1990,1.253
1/3/1991,1.254
1/31/1991,1.249
2/28/1991,1.25
3/27/1991,1.254
4/25/1991,1.252
5/24/1991,1.253
6/24/1991,1.255
7/18/1991,1.255
8/16/1991,1.26
9/11/1991,1.259
10/10/1991,1.261
11/7/1991,1.261
12/6/1991,1.259
1/2/1992,1.256
1/30/1992,1.254
2/27/1992,1.253
3/27/1992,1.257
4/23/1992,1.256
5/21/1992,1.257
6/19/1992,1.258
7/15/1992,1.261
8/13/1992,1.258
9/10/1992,1.261
10/8/1992,1.265
11/5/1992,1.264
12/2/1992,1.262
12/30/1992,1.263
1/28/1993,1.261
2/24/1993,1.261
3/25/1993,1.259
4/23/1993,1.262
5/19/1993,1.263
6/18/1993,1.267
7/15/1993,1.27
8/12/1993,1.276
9/9/1993,1.312
10/6/1993,1.336
11/4/1993,1.282
12/2/1993,1.278
12/29/1993,1.275
1/27/1994,1.273
2/23/1994,1.273
3/24/1994,1.275
4/21/1994,1.277
5/19/1994,1.276
6/17/1994,1.287
7/15/1994,1.293
8/11/1994,1.308
9/9/1994,1.299
10/5/1994,1.301
11/3/1994,1.293
12/1/1994,1.294
12/29/1994,1.291
1/26/1995,1.289
2/24/1995,1.29
3/23/1995,1.29
4/20/1995,1.29
5/18/1995,1.292
6/14/1995,1.292
7/14/1995,1.294
8/10/1995,1.305
9/7/1995,1.315
10/6/1995,1.312
11/2/1995,1.316
11/30/1995,1.304
1/4/1996,1.3
1/24/1996,1.299
2/23/1996,1.3
3/21/1996,1.3
4/18/1996,1.304
5/16/1996,1.313
6/12/1996,1.322
7/12/1996,1.305
8/9/1996,1.303
9/6/1996,1.299
10/3/1996,1.3
10/29/1996,1.298
11/26/1996,1.3
12/23/1996,1.3
1/23/1997,1.298
2/20/1997,1.297
3/20/1997,1.296
4/17/1997,1.296
5/16/1997,1.295
6/12/1997,1.295
7/9/1997,1.295
8/7/1997,1.297
9/5/1997,1.298
10/3/1997,1.298
10/30/1997,1.296
11/25/1997,1.296
12/22/1997,1.295
1/21/1998,1.295
2/19/1998,1.294
3/19/1998,1.293
4/16/1998,1.294
5/14/1998,1.296
6/11/1998,1.299
7/8/1998,1.3
8/7/1998,1.3
9/3/1998,1.301
10/1/1998,1.299
10/30/1998,1.298
11/27/1998,1.297
12/18/1998,1.297
1/14/1999,1.297
2/10/1999,1.299
3/11/1999,1.3
4/8/1999,1.299
5/3/1999,1.3
6/3/1999,1.301
7/1/1999,1.301
7/29/1999,1.301
8/25/1999,1.303
9/23/1999,1.304
10/20/1999,1.305
11/18/1999,1.306
12/17/1999,1.305
1/12/2000,1.307
2/9/2000,1.307
3/7/2000,1.309
4/6/2000,1.309
5/3/2000,1.309
5/31/2000,1.31
6/29/2000,1.311
7/26/2000,1.315
8/25/2000,1.319
9/20/2000,1.323
10/19/2000,1.32
11/16/2000,1.316
12/13/2000,1.312
1/11/2001,1.311
2/12/2001,1.312
3/8/2001,1.312
4/6/2001,1.311
5/4/2001,1.314
5/30/2001,1.317
6/28/2001,1.315
7/25/2001,1.317
8/24/2001,1.318
9/19/2001,1.316
10/18/2001,1.314
11/14/2001,1.315
12/14/2001,1.311
