DATE,CUMULATIVE_COMPACTION
5/26/1976,0.0
6/21/1976,0.001
7/20/1976,0.007
8/16/1976,0.019
9/16/1976,0.031
10/12/1976,0.042
11/9/1976,0.051
12/7/1976,0.06
1/4/1977,0.069
2/1/1977,0.079
3/1/1977,0.087
3/29/1977,0.096
4/26/1977,0.1
5/24/1977,0.106
6/21/1977,0.115
7/19/1977,0.126
8/16/1977,0.131
9/13/1977,0.136
10/11/1977,0.142
11/7/1977,0.147
12/6/1977,0.15
1/3/1978,0.157
2/2/1978,0.16
2/28/1978,0.164
3/28/1978,0.169
4/25/1978,0.173
5/23/1978,0.183
6/20/1978,0.189
7/19/1978,0.199
8/15/1978,0.204
9/13/1978,0.21
10/10/1978,0.214
11/7/1978,0.202
12/5/1978,0.184
1/3/1979,0.169
1/31/1979,0.155
2/27/1979,0.152
3/28/1979,0.152
4/23/1979,0.155
5/22/1979,0.16
6/19/1979,0.166
7/17/1979,0.172
8/14/1979,0.177
9/11/1979,0.181
10/9/1979,0.185
11/8/1979,0.192
12/5/1979,0.198
1/2/1980,0.205
2/5/1980,0.209
3/4/1980,0.213
4/1/1980,0.218
4/29/1980,0.223
5/27/1980,0.227
6/24/1980,0.238
7/22/1980,0.249
8/19/1980,0.255
9/15/1980,0.263
10/15/1980,0.268
11/10/1980,0.274
12/9/1980,0.277
1/6/1981,0.28
2/3/1981,0.283
3/4/1981,0.286
3/31/1981,0.29
4/27/1981,0.295
5/26/1981,0.298
6/23/1981,0.302
7/21/1981,0.307
8/18/1981,0.313
9/15/1981,0.316
10/13/1981,0.32
11/10/1981,0.322
12/8/1981,0.324
1/6/1982,0.324
2/3/1982,0.325
3/2/1982,0.325
3/30/1982,0.328
4/27/1982,0.33
5/25/1982,0.332
6/22/1982,0.339
7/20/1982,0.345
8/17/1982,0.35
9/14/1982,0.357
10/12/1982,0.361
11/9/1982,0.366
12/7/1982,0.366
1/4/1983,0.366
2/1/1983,0.366
3/2/1983,0.37
3/29/1983,0.371
4/26/1983,0.375
5/25/1983,0.377
6/21/1983,0.381
7/19/1983,0.385
8/16/1983,0.386
9/13/1983,0.388
10/11/1983,0.389
