DATE,CUMULATIVE_COMPACTION
5/26/1976,0.0
6/9/1976,0.004
6/21/1976,0.002
7/20/1976,0.009
8/16/1976,0.021
9/16/1976,0.031
10/12/1976,0.041
11/9/1976,0.05
12/7/1976,0.059
1/4/1977,0.068
2/1/1977,0.077
3/1/1977,0.086
3/29/1977,0.094
4/26/1977,0.098
5/24/1977,0.105
6/21/1977,0.115
7/19/1977,0.125
8/16/1977,0.13
9/13/1977,0.135
10/11/1977,0.141
11/7/1977,0.147
12/6/1977,0.151
1/3/1978,0.158
2/2/1978,0.161
2/28/1978,0.164
3/28/1978,0.17
4/25/1978,0.176
5/23/1978,0.185
6/20/1978,0.191
7/19/1978,0.201
8/15/1978,0.206
9/13/1978,0.213
10/10/1978,0.218
11/7/1978,0.206
12/5/1978,0.189
1/3/1979,0.174
1/31/1979,0.16
2/27/1979,0.156
3/28/1979,0.157
4/23/1979,0.16
5/22/1979,0.165
6/19/1979,0.171
7/17/1979,0.176
8/14/1979,0.18
9/11/1979,0.184
10/9/1979,0.189
11/8/1979,0.196
12/5/1979,0.202
1/2/1980,0.206
2/5/1980,0.211
3/4/1980,0.215
4/1/1980,0.22
4/29/1980,0.225
5/27/1980,0.229
6/24/1980,0.24
7/22/1980,0.253
8/19/1980,0.259
9/15/1980,0.267
10/15/1980,0.272
11/10/1980,0.277
12/9/1980,0.278
1/6/1981,0.281
2/3/1981,0.284
3/4/1981,0.286
3/31/1981,0.29
4/27/1981,0.296
5/26/1981,0.299
6/23/1981,0.303
7/22/1981,0.313
8/18/1981,0.319
9/15/1981,0.322
10/13/1981,0.326
11/10/1981,0.328
12/8/1981,0.331
1/6/1982,0.332
2/3/1982,0.334
3/2/1982,0.335
3/30/1982,0.338
4/27/1982,0.339
5/25/1982,0.341
6/22/1982,0.349
7/20/1982,0.355
8/17/1982,0.36
9/14/1982,0.368
10/12/1982,0.373
11/9/1982,0.378
12/7/1982,0.38
1/4/1983,0.382
2/1/1983,0.383
3/2/1983,0.384
3/29/1983,0.386
4/26/1983,0.391
5/25/1983,0.394
6/21/1983,0.399
7/19/1983,0.404
8/16/1983,0.406
9/13/1983,0.407
10/11/1983,0.409
11/8/1983,0.412
12/6/1983,0.414
1/4/1984,0.419
1/31/1984,0.419
2/28/1984,0.42
3/26/1984,0.423
4/23/1984,0.426
5/22/1984,0.435
6/19/1984,0.437
7/17/1984,0.441
8/14/1984,0.444
9/11/1984,0.448
10/9/1984,0.45
11/6/1984,0.451
12/5/1984,0.453
1/2/1985,0.455
1/30/1985,0.458
2/26/1985,0.459
3/27/1985,0.46
4/23/1985,0.463
5/21/1985,0.467
6/18/1985,0.473
7/16/1985,0.476
8/13/1985,0.483
9/10/1985,0.488
10/8/1985,0.497
11/6/1985,0.497
12/3/1985,0.498
12/19/1985,0.499
1/16/1986,0.499
2/13/1986,0.5
3/13/1986,0.502
4/11/1986,0.505
5/8/1986,0.508
6/5/1986,0.509
7/3/1986,0.51
7/31/1986,0.519
8/29/1986,0.524
9/25/1986,0.524
10/23/1986,0.524
11/19/1986,0.525
12/17/1986,0.525
1/15/1987,0.526
2/11/1987,0.527
3/6/1987,0.527
4/2/1987,0.528
4/30/1987,0.533
5/28/1987,0.533
6/26/1987,0.534
7/23/1987,0.537
8/20/1987,0.543
9/17/1987,0.546
10/15/1987,0.548
11/12/1987,0.551
12/9/1987,0.552
1/7/1988,0.552
2/4/1988,0.553
3/3/1988,0.554
3/31/1988,0.555
4/28/1988,0.557
5/26/1988,0.558
6/23/1988,0.563
7/21/1988,0.565
8/18/1988,0.568
9/14/1988,0.571
10/13/1988,0.573
11/9/1988,0.576
12/8/1988,0.579
1/5/1989,0.579
2/2/1989,0.579
3/2/1989,0.58
3/29/1989,0.581
4/27/1989,0.584
5/23/1989,0.586
6/22/1989,0.59
7/20/1989,0.59
8/17/1989,0.593
9/14/1989,0.596
10/12/1989,0.601
11/8/1989,0.603
12/7/1989,0.604
1/4/1990,0.604
2/1/1990,0.604
3/1/1990,0.604
3/29/1990,0.605
4/26/1990,0.605
5/24/1990,0.605
6/21/1990,0.613
7/19/1990,0.617
8/16/1990,0.618
9/13/1990,0.62
10/11/1990,0.621
11/7/1990,0.622
12/7/1990,0.622
1/3/1991,0.622
1/31/1991,0.622
2/28/1991,0.622
3/28/1991,0.622
4/25/1991,0.622
5/24/1991,0.621
6/24/1991,0.621
7/18/1991,0.621
8/15/1991,0.623
9/12/1991,0.623
10/10/1991,0.624
11/7/1991,0.625
12/5/1991,0.626
1/2/1992,0.625
1/30/1992,0.624
2/28/1992,0.623
3/25/1992,0.623
4/23/1992,0.623
5/21/1992,0.623
6/17/1992,0.623
7/16/1992,0.624
8/13/1992,0.625
9/9/1992,0.629
10/8/1992,0.63
11/5/1992,0.628
12/2/1992,0.627
12/30/1992,0.626
1/28/1993,0.625
2/24/1993,0.624
3/26/1993,0.623
4/22/1993,0.623
5/19/1993,0.623
6/17/1993,0.623
7/14/1993,0.623
8/13/1993,0.628
9/10/1993,0.63
10/8/1993,0.63
11/4/1993,0.629
12/2/1993,0.629
12/30/1993,0.629
1/27/1994,0.629
2/24/1994,0.628
3/25/1994,0.628
4/20/1994,0.628
5/19/1994,0.628
6/16/1994,0.629
7/15/1994,0.63
8/11/1994,0.633
9/8/1994,0.634
10/6/1994,0.634
11/3/1994,0.634
12/2/1994,0.634
12/29/1994,0.634
1/26/1995,0.634
2/23/1995,0.634
3/23/1995,0.633
4/20/1995,0.633
5/17/1995,0.633
6/15/1995,0.634
7/14/1995,0.637
8/10/1995,0.64
9/7/1995,0.641
10/5/1995,0.641
11/2/1995,0.642
12/1/1995,0.642
1/4/1996,0.641
1/26/1996,0.641
2/22/1996,0.641
3/21/1996,0.641
4/19/1996,0.642
5/17/1996,0.642
6/13/1996,0.643
7/12/1996,0.647
8/9/1996,0.653
9/7/1996,0.652
10/3/1996,0.652
10/29/1996,0.651
11/29/1996,0.651
12/27/1996,0.651
1/24/1997,0.651
2/21/1997,0.65
3/19/1997,0.65
4/16/1997,0.649
5/14/1997,0.649
6/13/1997,0.649
7/11/1997,0.65
8/7/1997,0.655
9/2/1997,0.659
10/3/1997,0.659
10/30/1997,0.659
11/26/1997,0.658
12/24/1997,0.658
1/21/1998,0.658
2/19/1998,0.657
3/19/1998,0.656
4/16/1998,0.656
5/14/1998,0.658
6/11/1998,0.663
7/8/1998,0.664
8/7/1998,0.668
9/3/1998,0.668
10/1/1998,0.668
10/30/1998,0.667
11/27/1998,0.667
12/18/1998,0.667
1/15/1999,0.666
2/12/1999,0.666
3/15/1999,0.666
4/9/1999,0.666
5/4/1999,0.667
6/4/1999,0.669
6/30/1999,0.668
7/29/1999,0.668
8/25/1999,0.674
9/23/1999,0.68
10/20/1999,0.677
11/19/1999,0.677
12/17/1999,0.677
1/13/2000,0.677
2/8/2000,0.677
3/7/2000,0.677
4/5/2000,0.68
5/3/2000,0.68
6/1/2000,0.68
6/29/2000,0.681
7/26/2000,0.689
8/25/2000,0.693
9/21/2000,0.696
10/19/2000,0.695
11/16/2000,0.694
12/14/2000,0.693
1/11/2001,0.692
2/8/2001,0.692
3/8/2001,0.691
4/5/2001,0.69
5/4/2001,0.69
5/30/2001,0.692
6/27/2001,0.692
7/27/2001,0.694
8/23/2001,0.698
9/20/2001,0.697
10/18/2001,0.696
11/15/2001,0.695
