DATE,CUMULATIVE_COMPACTION
7/24/1973,0.0
8/13/1973,0.002
8/17/1973,0.001
9/13/1973,0.005
10/11/1973,0.015
10/13/1973,0.012
10/17/1973,0.012
10/29/1973,0.015
10/30/1973,0.013
11/9/1973,0.015
11/26/1973,0.019
12/1/1973,0.022
12/3/1973,0.022
12/4/1973,0.021
12/7/1973,0.023
12/31/1973,0.023
1/4/1974,0.024
2/5/1974,0.027
3/8/1974,0.032
4/5/1974,0.038
5/6/1974,0.041
6/4/1974,0.049
7/2/1974,0.064
7/30/1974,0.082
8/22/1974,0.093
9/30/1974,0.093
10/30/1974,0.099
11/27/1974,0.095
12/23/1974,0.094
1/24/1975,0.095
2/21/1975,0.097
3/24/1975,0.1
4/24/1975,0.104
5/23/1975,0.111
6/24/1975,0.121
7/23/1975,0.125
8/21/1975,0.132
9/19/1975,0.144
10/15/1975,0.175
11/20/1975,0.147
12/22/1975,0.146
1/21/1976,0.152
2/20/1976,0.157
3/22/1976,0.16
4/21/1976,0.166
5/21/1976,0.176
6/21/1976,0.19
7/19/1976,0.208
8/17/1976,0.25
9/14/1976,0.264
9/20/1976,0.215
10/12/1976,0.223
10/29/1976,0.212
11/9/1976,0.195
12/7/1976,0.192
1/4/1977,0.194
2/1/1977,0.198
3/1/1977,0.202
3/29/1977,0.202
4/26/1977,0.207
5/24/1977,0.234
6/21/1977,0.267
7/19/1977,0.308
8/16/1977,0.336
9/13/1977,0.333
10/11/1977,0.353
11/7/1977,0.359
12/6/1977,0.276
1/3/1978,0.274
1/31/1978,0.261
2/28/1978,0.261
3/28/1978,0.266
4/25/1978,0.285
5/23/1978,0.346
6/20/1978,0.394
7/19/1978,0.443
8/1/1978,0.402
8/15/1978,0.417
9/10/1978,0.437
9/13/1978,0.326
10/10/1978,0.382
11/7/1978,0.434
11/26/1978,0.429
11/27/1978,0.359
12/4/1978,0.341
1/3/1979,0.331
1/30/1979,0.325
2/27/1979,0.325
3/27/1979,0.325
4/23/1979,0.322
5/22/1979,0.343
6/19/1979,0.357
6/26/1979,0.377
6/27/1979,0.373
7/7/1979,0.403
7/8/1979,0.394
7/12/1979,0.407
7/14/1979,0.347
7/17/1979,0.348
7/20/1979,0.352
7/27/1979,0.336
8/11/1979,0.384
8/14/1979,0.372
8/16/1979,0.376
8/17/1979,0.368
8/20/1979,0.371
8/23/1979,0.351
9/1/1979,0.363
9/2/1979,0.36
9/5/1979,0.362
9/8/1979,0.341
9/10/1979,0.342
9/17/1979,0.357
9/20/1979,0.338
10/9/1979,0.382
10/22/1979,0.41
10/23/1979,0.403
10/30/1979,0.41
11/2/1979,0.345
11/5/1979,0.345
12/4/1979,0.35
1/2/1980,0.347
2/5/1980,0.339
3/5/1980,0.337
4/1/1980,0.334
4/29/1980,0.345
5/27/1980,0.354
6/24/1980,0.428
7/23/1980,0.474
8/19/1980,0.503
9/5/1980,0.531
9/10/1980,0.425
9/16/1980,0.432
9/25/1980,0.444
10/2/1980,0.419
10/14/1980,0.438
10/18/1980,0.444
10/19/1980,0.398
11/10/1980,0.413
12/8/1980,0.409
1/5/1981,0.383
1/19/1981,0.373
2/4/1981,0.367
3/2/1981,0.363
3/30/1981,0.367
4/22/1981,0.387
4/23/1981,0.371
4/29/1981,0.371
5/26/1981,0.392
6/23/1981,0.387
7/3/1981,0.406
7/8/1981,0.379
7/20/1981,0.418
8/18/1981,0.489
8/30/1981,0.509
9/2/1981,0.469
9/15/1981,0.48
10/5/1981,0.512
10/8/1981,0.41
10/13/1981,0.41
11/10/1981,0.391
12/8/1981,0.388
1/5/1982,0.378
2/3/1982,0.373
3/1/1982,0.368
3/31/1982,0.369
4/27/1982,0.367
5/25/1982,0.367
6/23/1982,0.465
6/27/1982,0.393
7/21/1982,0.497
8/17/1982,0.539
9/14/1982,0.578
10/12/1982,0.601
11/9/1982,0.601
12/8/1982,0.417
1/3/1983,0.401
2/1/1983,0.395
3/2/1983,0.391
3/29/1983,0.389
4/26/1983,0.407
5/23/1983,0.401
6/22/1983,0.459
7/19/1983,0.419
8/16/1983,0.435
9/13/1983,0.418
10/11/1983,0.441
11/7/1983,0.441
12/6/1983,0.433
1/3/1984,0.429
1/31/1984,0.422
2/29/1984,0.418
3/26/1984,0.417
4/24/1984,0.42
5/21/1984,0.43
6/19/1984,0.447
7/17/1984,0.474
8/14/1984,0.474
9/11/1984,0.477
10/9/1984,0.467
11/6/1984,0.443
12/5/1984,0.444
1/2/1985,0.439
1/29/1985,0.434
2/26/1985,0.43
3/27/1985,0.426
4/23/1985,0.428
5/21/1985,0.43
6/18/1985,0.438
7/16/1985,0.438
8/13/1985,0.453
9/10/1985,0.468
10/8/1985,0.465
11/5/1985,0.444
12/3/1985,0.441
12/19/1985,0.44
1/16/1986,0.44
2/13/1986,0.437
3/14/1986,0.439
4/10/1986,0.442
5/8/1986,0.44
6/5/1986,0.44
7/3/1986,0.443
7/31/1986,0.464
8/28/1986,0.469
9/25/1986,0.444
10/23/1986,0.441
11/20/1986,0.439
12/18/1986,0.435
1/15/1987,0.433
2/11/1987,0.433
3/6/1987,0.431
4/2/1987,0.432
5/1/1987,0.434
5/28/1987,0.43
6/24/1987,0.427
7/23/1987,0.427
8/20/1987,0.431
9/17/1987,0.435
10/15/1987,0.438
11/12/1987,0.444
12/9/1987,0.442
1/7/1988,0.435
2/8/1988,0.434
3/3/1988,0.432
3/31/1988,0.43
4/28/1988,0.434
5/26/1988,0.435
6/23/1988,0.439
7/21/1988,0.441
8/18/1988,0.439
9/14/1988,0.442
10/13/1988,0.446
11/9/1988,0.455
12/8/1988,0.461
1/5/1989,0.46
2/2/1989,0.433
3/2/1989,0.433
3/29/1989,0.433
4/26/1989,0.437
5/23/1989,0.438
6/22/1989,0.46
7/20/1989,0.444
8/17/1989,0.446
9/15/1989,0.466
10/12/1989,0.485
11/8/1989,0.453
12/7/1989,0.45
1/4/1990,0.448
2/1/1990,0.445
3/1/1990,0.444
3/29/1990,0.444
4/26/1990,0.444
5/24/1990,0.444
6/21/1990,0.447
7/19/1990,0.45
8/16/1990,0.459
9/13/1990,0.458
10/11/1990,0.458
11/7/1990,0.457
12/7/1990,0.455
1/3/1991,0.45
1/31/1991,0.447
2/28/1991,0.446
3/27/1991,0.447
4/25/1991,0.445
5/24/1991,0.444
6/24/1991,0.447
7/18/1991,0.447
8/16/1991,0.449
9/11/1991,0.447
10/10/1991,0.451
11/7/1991,0.453
12/6/1991,0.449
1/2/1992,0.445
1/30/1992,0.442
2/27/1992,0.44
3/27/1992,0.442
4/23/1992,0.44
5/21/1992,0.441
6/19/1992,0.44
7/15/1992,0.444
8/14/1992,0.448
9/10/1992,0.453
10/8/1992,0.464
11/5/1992,0.468
12/2/1992,0.454
12/30/1992,0.446
1/28/1993,0.443
2/24/1993,0.442
3/25/1993,0.439
4/22/1993,0.441
5/19/1993,0.44
6/17/1993,0.443
7/14/1993,0.445
8/13/1993,0.461
9/9/1993,0.474
10/6/1993,0.49
11/4/1993,0.469
12/2/1993,0.459
12/29/1993,0.454
1/27/1994,0.451
2/24/1994,0.449
3/24/1994,0.449
4/20/1994,0.449
5/20/1994,0.447
6/17/1994,0.451
7/15/1994,0.453
8/11/1994,0.458
9/9/1994,0.458
10/7/1994,0.466
11/3/1994,0.455
12/1/1994,0.459
12/29/1994,0.451
1/26/1995,0.448
2/24/1995,0.448
3/22/1995,0.446
4/20/1995,0.446
5/18/1995,0.448
6/14/1995,0.448
7/14/1995,0.452
8/10/1995,0.456
9/8/1995,0.467
10/6/1995,0.471
11/2/1995,0.476
11/30/1995,0.467
1/4/1996,0.46
