DATE,CUMULATIVE_COMPACTION
7/24/1973,0.0
8/13/1973,0.008
8/19/1973,0.008
9/4/1973,0.017
9/6/1973,0.015
9/13/1973,0.018
10/11/1973,0.035
10/12/1973,0.033
10/16/1973,0.033
10/24/1973,0.041
10/26/1973,0.04
11/8/1973,0.043
11/27/1973,0.049
12/1/1973,0.054
12/3/1973,0.054
12/4/1973,0.053
12/7/1973,0.055
12/11/1973,0.056
12/15/1973,0.054
12/19/1973,0.054
1/4/1974,0.059
2/5/1974,0.065
3/8/1974,0.074
4/5/1974,0.088
5/6/1974,0.1
6/4/1974,0.112
7/2/1974,0.15
7/30/1974,0.189
8/22/1974,0.212
8/24/1974,0.216
8/29/1974,0.216
9/1/1974,0.214
9/3/1974,0.196
9/9/1974,0.196
9/10/1974,0.201
9/12/1974,0.201
9/13/1974,0.193
9/17/1974,0.193
9/30/1974,0.202
10/30/1974,0.215
11/27/1974,0.214
12/23/1974,0.224
1/24/1975,0.231
2/21/1975,0.238
3/24/1975,0.247
4/24/1975,0.255
5/23/1975,0.271
6/24/1975,0.285
6/30/1975,0.287
7/2/1975,0.282
7/23/1975,0.292
7/28/1975,0.298
7/29/1975,0.292
8/21/1975,0.303
9/19/1975,0.321
10/15/1975,0.36
10/16/1975,0.356
10/20/1975,0.36
10/25/1975,0.359
10/26/1975,0.329
11/4/1975,0.329
11/20/1975,0.339
12/22/1975,0.347
1/21/1976,0.36
2/20/1976,0.371
3/22/1976,0.379
4/22/1976,0.391
5/21/1976,0.406
5/31/1976,0.417
6/1/1976,0.41
6/21/1976,0.425
7/19/1976,0.453
8/17/1976,0.5
9/14/1976,0.52
9/20/1976,0.478
10/12/1976,0.483
11/9/1976,0.485
12/7/1976,0.487
1/4/1977,0.492
2/1/1977,0.5
3/1/1977,0.507
3/29/1977,0.511
4/26/1977,0.517
5/24/1977,0.54
6/21/1977,0.575
7/19/1977,0.622
8/16/1977,0.649
9/13/1977,0.657
10/11/1977,0.672
11/7/1977,0.679
11/21/1977,0.619
12/6/1977,0.617
1/3/1978,0.617
1/31/1978,0.614
2/28/1978,0.615
3/28/1978,0.619
4/25/1978,0.638
5/23/1978,0.711
6/20/1978,0.761
7/19/1978,0.816
8/1/1978,0.781
8/15/1978,0.807
9/9/1978,0.812
9/13/1978,0.716
10/10/1978,0.749
11/7/1978,0.78
11/26/1978,0.769
11/27/1978,0.738
12/4/1978,0.722
1/3/1979,0.719
1/30/1979,0.711
2/27/1979,0.711
3/27/1979,0.712
4/23/1979,0.709
5/22/1979,0.741
6/19/1979,0.751
6/26/1979,0.773
6/27/1979,0.766
7/7/1979,0.798
7/8/1979,0.791
7/12/1979,0.798
7/14/1979,0.748
7/17/1979,0.749
7/20/1979,0.75
7/27/1979,0.74
8/11/1979,0.773
8/14/1979,0.761
8/16/1979,0.764
8/17/1979,0.75
8/23/1979,0.746
9/1/1979,0.752
9/2/1979,0.746
9/7/1979,0.743
9/10/1979,0.744
9/17/1979,0.756
9/20/1979,0.741
10/9/1979,0.771
11/5/1979,0.75
12/4/1979,0.751
1/2/1980,0.749
2/5/1980,0.745
3/5/1980,0.742
4/1/1980,0.74
4/29/1980,0.753
5/27/1980,0.749
6/24/1980,0.826
7/23/1980,0.858
8/19/1980,0.905
9/5/1980,0.934
9/10/1980,0.858
9/16/1980,0.869
9/25/1980,0.876
10/2/1980,0.848
