DATE,CUMULATIVE_COMPACTION
1/13/2017,0.0
2/22/2017,-0.009
3/12/2017,-0.009
7/21/2017,-0.007
8/2/2017,-0.005
10/5/2017,-0.011
12/5/2017,-0.013
2/5/2018,-0.021
3/23/2018,-0.018
4/17/2018,-0.019
6/25/2018,-0.019
7/20/2018,-0.019
8/24/2018,-0.016
9/21/2018,-0.019
10/19/2018,-0.019
11/26/2018,-0.022
12/21/2018,-0.022
1/31/2019,-0.022
2/28/2019,-0.022
3/19/2019,-0.018
4/19/2019,-0.017
5/29/2019,-0.012
6/28/2019,-0.012
7/26/2019,-0.004
8/23/2019,-0.005
10/4/2019,-0.006
11/26/2019,-0.006
12/27/2019,-0.006
1/31/2020,-0.007
3/4/2020,-0.006
4/7/2020,-0.005
5/1/2020,0.001
5/29/2020,0.001
6/24/2020,0.001
7/23/2020,0.003
8/20/2020,0.003
9/24/2020,0.005
10/29/2020,0.006
11/24/2020,0.007
12/30/2020,0.006
2/2/2021,0.006
2/26/2021,0.005
4/5/2021,0.009
5/7/2021,0.009
6/7/2021,0.009
6/30/2021,0.011
7/23/2021,0.011
9/7/2021,0.014
9/23/2021,0.015
10/28/2021,0.013
11/22/2021,0.014
1/7/2022,0.014
1/26/2022,0.014
3/7/2022,0.015
3/29/2022,0.017
4/29/2022,0.018
6/2/2022,0.019
6/28/2022,0.022
7/28/2022,0.024
8/30/2022,0.021
9/27/2022,0.024
11/1/2022,0.024
12/5/2022,0.024
12/28/2022,0.024
1/23/2023,0.025
3/1/2023,0.026
3/29/2023,0.029
4/25/2023,0.03
5/25/2023,0.031
6/30/2023,0.034
7/24/2023,0.035
8/28/2023,0.037
9/29/2023,0.037
10/31/2023,0.037
12/11/2023,0.038
12/29/2023,0.038
