DATE,CUMULATIVE_COMPACTION
7/11/1974,0.0
7/24/1974,0.004
8/30/1974,0.009
9/30/1974,0.01
10/30/1974,0.02
11/26/1974,0.019
12/23/1974,0.019
1/24/1975,0.019
2/21/1975,0.02
3/24/1975,0.023
4/24/1975,0.027
5/23/1975,0.032
6/24/1975,0.041
7/23/1975,0.055
8/21/1975,0.064
9/19/1975,0.069
10/20/1975,0.083
11/20/1975,0.09
12/22/1975,0.093
1/21/1976,0.095
2/20/1976,0.102
3/22/1976,0.106
4/21/1976,0.112
5/21/1976,0.119
6/21/1976,0.13
7/19/1976,0.141
8/17/1976,0.155
9/15/1976,0.17
10/12/1976,0.176
11/9/1976,0.182
12/7/1976,0.178
1/4/1977,0.178
2/1/1977,0.181
3/1/1977,0.184
3/29/1977,0.188
4/26/1977,0.199
5/24/1977,0.212
6/21/1977,0.228
7/19/1977,0.245
8/16/1977,0.257
9/14/1977,0.269
10/11/1977,0.28
11/7/1977,0.286
12/6/1977,0.289
1/3/1978,0.294
2/6/1978,0.296
2/28/1978,0.297
3/28/1978,0.312
4/25/1978,0.323
5/23/1978,0.337
6/20/1978,0.35
7/19/1978,0.369
8/15/1978,0.381
9/13/1978,0.394
10/10/1978,0.405
11/7/1978,0.417
12/5/1978,0.418
1/3/1979,0.421
1/31/1979,0.424
2/27/1979,0.427
3/29/1979,0.436
4/23/1979,0.443
5/22/1979,0.454
6/20/1979,0.471
7/19/1979,0.494
8/14/1979,0.51
9/11/1979,0.521
9/18/1979,0.523
9/21/1979,0.521
10/9/1979,0.525
11/8/1979,0.539
12/5/1979,0.548
1/2/1980,0.552
2/5/1980,0.56
3/4/1980,0.581
4/1/1980,0.592
4/29/1980,0.614
5/27/1980,0.624
6/24/1980,0.647
7/23/1980,0.672
8/19/1980,0.69
9/16/1980,0.714
10/14/1980,0.735
11/10/1980,0.745
12/9/1980,0.75
1/6/1981,0.758
2/4/1981,0.761
3/4/1981,0.762
3/31/1981,0.769
4/29/1981,0.786
5/26/1981,0.797
6/22/1981,0.814
7/20/1981,0.833
8/18/1981,0.861
9/14/1981,0.881
10/13/1981,0.899
11/12/1981,0.902
12/9/1981,0.909
1/5/1982,0.917
2/3/1982,0.924
3/3/1982,0.93
3/30/1982,0.937
4/28/1982,0.946
5/25/1982,0.955
6/22/1982,0.975
7/20/1982,0.997
8/18/1982,1.028
9/14/1982,1.058
10/14/1982,1.084
11/9/1982,1.097
12/7/1982,1.097
1/4/1983,1.104
2/1/1983,1.11
3/2/1983,1.119
3/29/1983,1.123
4/26/1983,1.133
5/24/1983,1.143
6/21/1983,1.162
7/19/1983,1.178
8/17/1983,1.188
9/13/1983,1.199
10/12/1983,1.204
11/8/1983,1.214
12/5/1983,1.22
1/4/1984,1.234
1/31/1984,1.241
2/28/1984,1.246
3/27/1984,1.256
4/24/1984,1.27
5/22/1984,1.29
6/19/1984,1.306
7/17/1984,1.327
8/14/1984,1.339
9/11/1984,1.357
10/10/1984,1.369
11/6/1984,1.37
12/5/1984,1.376
1/2/1985,1.38
1/29/1985,1.392
2/27/1985,1.404
3/27/1985,1.412
4/23/1985,1.427
5/21/1985,1.44
6/18/1985,1.463
7/16/1985,1.477
8/13/1985,1.498
9/10/1985,1.519
10/8/1985,1.535
11/5/1985,1.537
12/3/1985,1.534
12/19/1985,1.535
1/16/1986,1.544
2/13/1986,1.548
3/13/1986,1.556
4/10/1986,1.563
5/9/1986,1.575
6/6/1986,1.584
7/3/1986,1.589
7/31/1986,1.616
8/28/1986,1.635
9/25/1986,1.646
10/24/1986,1.649
11/20/1986,1.661
12/17/1986,1.662
1/15/1987,1.665
2/12/1987,1.668
3/6/1987,1.669
4/2/1987,1.682
4/30/1987,1.698
5/28/1987,1.704
6/25/1987,1.704
7/23/1987,1.721
8/20/1987,1.736
9/17/1987,1.751
10/15/1987,1.76
11/12/1987,1.764
12/9/1987,1.772
1/7/1988,1.771
2/4/1988,1.774
3/3/1988,1.776
3/31/1988,1.776
4/29/1988,1.782
5/26/1988,1.793
6/23/1988,1.803
7/21/1988,1.812
8/18/1988,1.822
9/14/1988,1.836
10/12/1988,1.845
11/9/1988,1.852
12/8/1988,1.861
1/5/1989,1.863
2/2/1989,1.857
3/2/1989,1.859
3/29/1989,1.866
4/27/1989,1.877
5/25/1989,1.878
6/22/1989,1.887
7/20/1989,1.9
8/17/1989,1.909
9/14/1989,1.932
10/12/1989,1.948
11/8/1989,1.965
12/7/1989,1.972
1/4/1990,1.983
2/1/1990,1.986
3/1/1990,1.989
3/29/1990,1.995
4/26/1990,2.0
5/24/1990,2.013
6/21/1990,2.036
7/19/1990,2.057
8/16/1990,2.078
9/13/1990,2.108
10/11/1990,2.121
11/7/1990,2.128
12/6/1990,2.131
1/3/1991,2.136
1/31/1991,2.134
2/28/1991,2.134
3/27/1991,2.147
4/25/1991,2.153
5/23/1991,2.17
6/24/1991,2.188
7/18/1991,2.204
8/15/1991,2.23
9/13/1991,2.237
10/10/1991,2.24
11/7/1991,2.246
12/6/1991,2.248
1/2/1992,2.243
1/30/1992,2.244
2/28/1992,2.245
3/25/1992,2.251
4/23/1992,2.262
5/21/1992,2.273
6/17/1992,2.276
7/16/1992,2.303
8/13/1992,2.306
9/11/1992,2.328
10/8/1992,2.338
11/5/1992,2.348
12/12/1992,2.336
12/30/1992,2.332
1/28/1993,2.33
2/25/1993,2.343
3/25/1993,2.342
4/23/1993,2.348
5/20/1993,2.355
6/16/1993,2.358
7/16/1993,2.367
8/12/1993,2.391
9/10/1993,2.424
10/7/1993,2.447
11/5/1993,2.443
12/3/1993,2.439
12/29/1993,2.435
1/27/1994,2.436
2/24/1994,2.433
3/24/1994,2.441
4/21/1994,2.452
5/20/1994,2.456
6/16/1994,2.466
7/14/1994,2.481
8/11/1994,2.502
9/8/1994,2.503
10/5/1994,2.509
11/3/1994,2.514
12/1/1994,2.517
12/29/1994,2.518
1/26/1995,2.52
2/23/1995,2.525
3/24/1995,2.527
4/20/1995,2.533
5/18/1995,2.543
6/15/1995,2.552
7/13/1995,2.567
8/11/1995,2.583
9/8/1995,2.587
10/4/1995,2.594
11/3/1995,2.602
11/30/1995,2.602
1/3/1996,2.609
1/25/1996,2.611
2/22/1996,2.617
3/21/1996,2.62
4/18/1996,2.628
5/16/1996,2.637
6/13/1996,2.655
7/11/1996,2.667
8/8/1996,2.689
9/5/1996,2.679
10/3/1996,2.684
10/30/1996,2.692
11/27/1996,2.688
12/23/1996,2.692
1/24/1997,2.688
2/19/1997,2.692
3/20/1997,2.688
4/17/1997,2.693
5/15/1997,2.699
6/12/1997,2.701
7/10/1997,2.709
8/8/1997,2.719
9/3/1997,2.734
10/2/1997,2.749
10/30/1997,2.746
11/25/1997,2.75
12/22/1997,2.755
1/23/1998,2.756
2/18/1998,2.761
3/19/1998,2.765
4/14/1998,2.774
5/14/1998,2.798
6/10/1998,2.829
7/10/1998,2.862
8/6/1998,2.888
9/4/1998,2.892
10/2/1998,2.89
10/27/1998,2.892
11/25/1998,2.896
12/17/1998,2.896
1/13/1999,2.897
2/11/1999,2.9
3/12/1999,2.908
4/8/1999,2.911
5/6/1999,2.928
6/4/1999,2.939
6/29/1999,2.946
7/30/1999,2.97
8/26/1999,2.999
9/24/1999,3.027
10/25/1999,3.046
11/23/1999,3.052
12/21/1999,3.061
1/11/2000,3.062
2/9/2000,3.064
3/9/2000,3.073
4/5/2000,3.078
5/5/2000,3.082
5/31/2000,3.093
6/29/2000,3.107
7/27/2000,3.136
8/23/2000,3.164
9/21/2000,3.189
10/19/2000,3.197
11/16/2000,3.182
12/16/2000,3.17
1/15/2001,3.164
2/12/2001,3.158
3/9/2001,3.156
4/5/2001,3.155
5/3/2001,3.16
5/30/2001,3.181
6/28/2001,3.195
7/27/2001,3.221
8/23/2001,3.247
9/20/2001,3.248
10/19/2001,3.248
11/15/2001,3.252
12/13/2001,3.251
1/11/2002,3.257
2/6/2002,3.261
3/7/2002,3.262
4/3/2002,3.264
5/2/2002,3.275
5/30/2002,3.294
6/26/2002,3.303
7/24/2002,3.307
8/22/2002,3.313
9/20/2002,3.32
10/18/2002,3.327
11/15/2002,3.323
12/13/2002,3.33
1/8/2003,3.334
2/7/2003,3.338
3/7/2003,3.336
4/2/2003,3.33
5/2/2003,3.338
5/30/2003,3.368
6/27/2003,3.394
7/25/2003,3.396
8/22/2003,3.405
9/19/2003,3.407
10/17/2003,3.408
11/14/2003,3.411
12/11/2003,3.409
1/7/2004,3.41
2/5/2004,3.407
3/4/2004,3.405
3/30/2004,3.403
4/29/2004,3.398
5/27/2004,3.395
6/24/2004,3.392
7/20/2004,3.394
8/19/2004,3.398
9/16/2004,3.398
10/15/2004,3.401
11/8/2004,3.404
12/6/2004,3.397
1/7/2005,3.394
2/2/2005,3.388
3/2/2005,3.382
3/29/2005,3.379
4/28/2005,3.383
5/25/2005,3.387
6/22/2005,3.401
7/19/2005,3.442
8/17/2005,3.457
9/26/2005,3.478
10/18/2005,3.494
11/18/2005,3.507
12/15/2005,3.504
1/6/2006,3.509
2/6/2006,3.51
3/6/2006,3.501
4/6/2006,3.494
5/5/2006,3.496
5/30/2006,3.5
6/28/2006,3.497
7/27/2006,3.492
8/23/2006,3.495
9/25/2006,3.493
10/23/2006,3.488
11/15/2006,3.489
12/13/2006,3.491
1/9/2007,3.485
2/5/2007,3.477
3/9/2007,3.478
4/4/2007,3.476
5/8/2007,3.475
5/31/2007,3.476
6/26/2007,3.476
7/27/2007,3.477
8/22/2007,3.477
9/18/2007,3.476
10/18/2007,3.482
11/19/2007,3.48
12/14/2007,3.479
1/7/2008,3.475
2/12/2008,3.471
3/13/2008,3.47
4/15/2008,3.472
5/8/2008,3.474
6/9/2008,3.477
7/11/2008,3.481
8/28/2008,3.484
10/2/2008,3.49
10/30/2008,3.5
11/26/2008,3.501
12/19/2008,3.502
1/22/2009,3.502
3/6/2009,3.505
4/3/2009,3.503
5/1/2009,3.5
5/27/2009,3.506
6/25/2009,3.529
7/22/2009,3.552
8/18/2009,3.559
9/17/2009,3.559
10/9/2009,3.557
11/13/2009,3.551
12/9/2009,3.539
1/6/2010,3.532
2/11/2010,3.529
3/10/2010,3.526
3/30/2010,3.527
5/5/2010,3.53
6/3/2010,3.534
7/1/2010,3.535
7/28/2010,3.534
8/27/2010,3.54
9/23/2010,3.544
10/20/2010,3.546
11/19/2010,3.548
12/14/2010,3.548
1/3/2011,3.548
2/1/2011,3.54
3/3/2011,3.539
3/31/2011,3.541
5/12/2011,3.55
6/7/2011,3.558
7/5/2011,3.572
8/3/2011,3.584
9/7/2011,3.614
10/7/2011,3.632
11/2/2011,3.629
12/1/2011,3.627
12/30/2011,3.621
1/24/2012,3.617
2/24/2012,3.61
3/21/2012,3.609
4/19/2012,3.611
5/18/2012,3.613
6/13/2012,3.618
7/6/2012,3.621
8/7/2012,3.623
9/7/2012,3.626
10/12/2012,3.629
11/8/2012,3.63
12/5/2012,3.632
1/7/2013,3.63
2/22/2013,3.615
3/28/2013,3.608
4/30/2013,3.601
5/30/2013,3.602
6/20/2013,3.607
7/24/2013,3.633
8/29/2013,3.649
9/25/2013,3.658
10/22/2013,3.659
11/21/2013,3.654
12/18/2013,3.654
1/23/2014,3.655
3/5/2014,3.653
4/3/2014,3.637
5/15/2014,3.639
6/11/2014,3.637
7/9/2014,3.644
8/7/2014,3.649
9/2/2014,3.656
10/10/2014,3.666
11/6/2014,3.669
12/10/2014,3.668
1/14/2015,3.658
2/23/2015,3.658
4/2/2015,3.648
4/21/2015,3.64
5/18/2015,3.639
6/25/2015,3.641
7/22/2015,3.646
9/10/2015,3.665
9/28/2015,3.67
10/29/2015,3.675
11/25/2015,3.669
12/23/2015,3.666
1/20/2016,3.668
3/1/2016,3.674
3/31/2016,3.674
5/4/2016,3.673
6/1/2016,3.675
7/1/2016,3.677
8/2/2016,3.681
8/26/2016,3.679
9/27/2016,3.686
10/21/2016,3.689
12/2/2016,3.706
12/22/2016,3.706
1/31/2017,3.707
3/1/2017,3.707
3/31/2017,3.704
4/20/2017,3.705
5/31/2017,3.709
6/23/2017,3.71
7/19/2017,3.712
8/16/2017,3.713
9/26/2017,3.713
10/20/2017,3.717
11/20/2017,3.717
12/28/2017,3.716
1/30/2018,3.714
2/28/2018,3.711
3/22/2018,3.717
4/18/2018,3.716
5/22/2018,3.719
6/25/2018,3.727
7/19/2018,3.73
8/31/2018,3.758
9/19/2018,3.758
10/18/2018,3.757
11/21/2018,3.753
12/21/2018,3.751
1/31/2019,3.748
2/28/2019,3.745
3/19/2019,3.747
4/19/2019,3.749
5/29/2019,3.741
6/28/2019,3.736
7/26/2019,3.749
8/23/2019,3.764
10/2/2019,3.755
11/5/2019,3.753
12/2/2019,3.751
12/27/2019,3.75
1/30/2020,3.74
3/4/2020,3.734
4/7/2020,3.738
5/1/2020,3.74
5/29/2020,3.739
6/24/2020,3.747
7/23/2020,3.755
8/20/2020,3.758
9/24/2020,3.76
10/29/2020,3.762
11/24/2020,3.763
12/30/2020,3.757
2/2/2021,3.761
2/25/2021,3.761
4/5/2021,3.759
5/7/2021,3.759
6/7/2021,3.756
6/30/2021,3.757
8/1/2021,3.763
9/7/2021,3.766
9/23/2021,3.769
10/28/2021,3.772
11/22/2021,3.774
1/7/2022,3.781
1/26/2022,3.78
2/28/2022,3.782
3/29/2022,3.781
4/27/2022,3.782
6/2/2022,3.785
6/28/2022,3.795
7/28/2022,3.812
8/30/2022,3.818
9/27/2022,3.819
11/3/2022,3.829
11/30/2022,3.825
12/27/2022,3.824
1/23/2023,3.824
3/1/2023,3.823
3/29/2023,3.825
4/25/2023,3.825
5/25/2023,3.824
6/30/2023,3.828
7/25/2023,3.831
8/28/2023,3.858
9/29/2023,3.882
10/31/2023,3.886
12/11/2023,3.884
12/29/2023,3.883
