DATE,CUMULATIVE_COMPACTION
7/20/1973,0.0
7/24/1973,0.002
8/13/1973,0.014
8/17/1973,0.016
8/31/1973,0.027
9/13/1973,0.035
10/11/1973,0.057
11/8/1973,0.073
11/12/1973,0.077
12/6/1973,0.092
1/3/1974,0.107
2/4/1974,0.123
3/7/1974,0.139
4/4/1974,0.157
5/3/1974,0.174
6/3/1974,0.197
7/1/1974,0.229
7/30/1974,0.255
8/30/1974,0.269
9/30/1974,0.289
10/30/1974,0.312
11/27/1974,0.329
12/27/1974,0.344
1/24/1975,0.356
2/21/1975,0.366
3/24/1975,0.384
4/24/1975,0.402
5/23/1975,0.418
6/23/1975,0.439
7/22/1975,0.463
8/20/1975,0.477
9/19/1975,0.498
10/20/1975,0.53
10/25/1975,0.531
10/26/1975,0.526
11/20/1975,0.541
12/22/1975,0.557
1/21/1976,0.574
2/20/1976,0.592
3/22/1976,0.61
4/21/1976,0.629
5/21/1976,0.649
6/21/1976,0.668
7/19/1976,0.684
8/17/1976,0.71
9/15/1976,0.738
10/12/1976,0.745
11/9/1976,0.757
12/7/1976,0.766
1/4/1977,0.775
2/1/1977,0.787
3/1/1977,0.802
3/29/1977,0.81
4/26/1977,0.816
5/24/1977,0.825
6/21/1977,0.847
7/19/1977,0.87
8/16/1977,0.888
9/14/1977,0.887
10/11/1977,0.899
11/7/1977,0.907
12/6/1977,0.904
1/3/1978,0.905
2/1/1978,0.899
2/28/1978,0.9
3/28/1978,0.908
4/25/1978,0.916
5/23/1978,0.946
6/20/1978,0.961
7/19/1978,1.001
8/15/1978,1.013
9/13/1978,1.012
10/10/1978,1.028
11/7/1978,1.045
12/5/1978,1.035
1/3/1979,1.019
1/30/1979,0.997
2/27/1979,0.987
3/27/1979,0.986
4/23/1979,0.985
5/22/1979,0.992
6/19/1979,1.002
7/17/1979,1.026
7/18/1979,1.024
7/25/1979,1.025
7/27/1979,1.019
8/14/1979,1.031
9/1/1979,1.04
9/12/1979,1.036
9/17/1979,1.038
9/20/1979,1.033
10/9/1979,1.043
10/30/1979,1.059
10/31/1979,1.055
11/7/1979,1.056
12/4/1979,1.059
1/2/1980,1.058
2/5/1980,1.049
3/4/1980,1.049
4/1/1980,1.05
4/29/1980,1.056
5/27/1980,1.06
6/24/1980,1.088
7/22/1980,1.133
8/19/1980,1.147
9/16/1980,1.165
10/14/1980,1.166
11/10/1980,1.172
12/9/1980,1.173
1/6/1981,1.171
1/19/1981,1.17
2/3/1981,1.16
3/4/1981,1.151
3/31/1981,1.151
4/27/1981,1.158
5/26/1981,1.172
6/23/1981,1.172
7/21/1981,1.189
8/18/1981,1.236
9/15/1981,1.232
10/14/1981,1.239
11/10/1981,1.236
12/8/1981,1.235
1/6/1982,1.22
2/3/1982,1.208
3/2/1982,1.194
3/31/1982,1.188
4/27/1982,1.187
5/25/1982,1.188
6/22/1982,1.213
7/20/1982,1.232
8/17/1982,1.254
9/14/1982,1.283
10/12/1982,1.287
11/9/1982,1.285
12/7/1982,1.261
1/4/1983,1.247
2/1/1983,1.235
3/2/1983,1.226
3/29/1983,1.226
4/26/1983,1.23
5/26/1983,1.235
6/21/1983,1.253
7/19/1983,1.258
8/16/1983,1.266
9/14/1983,1.261
10/11/1983,1.263
11/8/1983,1.265
12/6/1983,1.264
1/4/1984,1.261
1/31/1984,1.256
2/28/1984,1.259
3/26/1984,1.261
4/23/1984,1.267
5/22/1984,1.282
6/19/1984,1.301
7/17/1984,1.318
8/14/1984,1.329
9/11/1984,1.341
10/9/1984,1.341
11/6/1984,1.315
12/5/1984,1.313
1/2/1985,1.307
1/30/1985,1.297
2/26/1985,1.293
3/27/1985,1.291
4/23/1985,1.297
5/21/1985,1.312
6/18/1985,1.338
7/16/1985,1.343
8/13/1985,1.36
9/10/1985,1.365
10/8/1985,1.366
11/5/1985,1.358
12/3/1985,1.344
12/19/1985,1.339
1/16/1986,1.338
2/13/1986,1.337
3/13/1986,1.339
4/11/1986,1.345
5/8/1986,1.355
6/5/1986,1.368
7/3/1986,1.364
7/31/1986,1.397
8/29/1986,1.408
9/25/1986,1.39
10/24/1986,1.378
11/19/1986,1.371
12/17/1986,1.363
1/15/1987,1.36
2/11/1987,1.36
3/6/1987,1.358
4/2/1987,1.362
4/30/1987,1.376
5/28/1987,1.388
6/26/1987,1.383
7/23/1987,1.385
8/20/1987,1.421
9/17/1987,1.427
10/15/1987,1.427
11/12/1987,1.437
12/9/1987,1.419
1/7/1988,1.401
2/4/1988,1.396
3/3/1988,1.392
3/31/1988,1.39
4/28/1988,1.395
5/26/1988,1.406
6/23/1988,1.433
7/21/1988,1.451
8/18/1988,1.457
9/14/1988,1.453
10/13/1988,1.457
11/9/1988,1.459
12/8/1988,1.464
1/5/1989,1.463
2/2/1989,1.436
3/2/1989,1.431
3/29/1989,1.428
4/27/1989,1.431
5/23/1989,1.432
6/22/1989,1.462
7/20/1989,1.448
8/17/1989,1.446
9/14/1989,1.468
10/12/1989,1.481
11/8/1989,1.475
12/7/1989,1.46
1/4/1990,1.456
2/1/1990,1.446
3/1/1990,1.441
3/29/1990,1.442
4/26/1990,1.442
5/24/1990,1.443
6/21/1990,1.466
7/19/1990,1.487
8/16/1990,1.505
9/13/1990,1.507
10/11/1990,1.508
11/7/1990,1.506
12/7/1990,1.501
1/3/1991,1.491
1/31/1991,1.461
2/28/1991,1.455
3/28/1991,1.455
4/25/1991,1.452
5/24/1991,1.45
6/24/1991,1.457
7/18/1991,1.476
8/15/1991,1.501
9/12/1991,1.483
10/10/1991,1.496
11/7/1991,1.504
12/5/1991,1.49
1/2/1992,1.469
1/30/1992,1.462
2/28/1992,1.459
3/25/1992,1.461
4/23/1992,1.46
5/21/1992,1.47
6/17/1992,1.466
7/16/1992,1.494
8/18/1992,1.506
9/9/1992,1.515
10/8/1992,1.521
11/5/1992,1.519
12/2/1992,1.498
12/30/1992,1.473
1/28/1993,1.462
2/24/1993,1.458
3/26/1993,1.454
4/22/1993,1.456
5/19/1993,1.46
6/17/1993,1.475
7/14/1993,1.485
8/13/1993,1.513
9/10/1993,1.524
10/8/1993,1.526
11/4/1993,1.505
12/2/1993,1.484
12/30/1993,1.48
1/26/1994,1.473
2/23/1994,1.464
3/25/1994,1.462
4/19/1994,1.462
5/18/1994,1.459
6/16/1994,1.48
7/15/1994,1.499
8/11/1994,1.508
9/8/1994,1.509
10/6/1994,1.513
11/3/1994,1.49
12/1/1994,1.492
12/29/1994,1.472
1/26/1995,1.464
2/23/1995,1.463
3/23/1995,1.458
4/20/1995,1.458
5/17/1995,1.468
6/15/1995,1.478
7/14/1995,1.496
8/10/1995,1.506
9/7/1995,1.526
10/5/1995,1.526
11/2/1995,1.527
12/1/1995,1.506
1/4/1996,1.478
1/25/1996,1.469
2/22/1996,1.463
3/21/1996,1.463
4/19/1996,1.465
5/16/1996,1.473
6/13/1996,1.507
7/12/1996,1.523
8/9/1996,1.521
9/7/1996,1.497
10/3/1996,1.48
10/30/1996,1.481
11/29/1996,1.488
12/26/1996,1.488
1/24/1997,1.474
2/21/1997,1.469
3/19/1997,1.464
4/16/1997,1.463
5/14/1997,1.465
6/13/1997,1.475
7/11/1997,1.503
8/7/1997,1.519
9/2/1997,1.535
10/3/1997,1.509
10/30/1997,1.496
11/26/1997,1.489
12/22/1997,1.476
1/21/1998,1.469
2/19/1998,1.463
3/19/1998,1.461
4/16/1998,1.466
5/14/1998,1.493
6/11/1998,1.525
7/8/1998,1.529
8/6/1998,1.555
9/4/1998,1.554
10/1/1998,1.523
10/30/1998,1.503
11/25/1998,1.495
12/18/1998,1.487
1/14/1999,1.479
2/12/1999,1.478
3/12/1999,1.475
4/9/1999,1.473
5/5/1999,1.484
6/3/1999,1.499
6/30/1999,1.498
7/29/1999,1.504
8/26/1999,1.534
9/23/1999,1.543
10/20/1999,1.539
11/18/1999,1.543
12/16/1999,1.541
1/13/2000,1.534
2/8/2000,1.529
3/6/2000,1.523
4/6/2000,1.518
5/3/2000,1.52
6/1/2000,1.527
6/29/2000,1.537
7/26/2000,1.553
8/24/2000,1.555
