DATE,CUMULATIVE_COMPACTION
10/8/1975,0.0
10/20/1975,0.01
11/20/1975,0.026
12/22/1975,0.04
1/21/1976,0.054
2/20/1976,0.073
3/22/1976,0.088
4/21/1976,0.11
5/21/1976,0.142
6/21/1976,0.16
7/19/1976,0.182
8/16/1976,0.218
9/14/1976,0.242
10/12/1976,0.24
11/9/1976,0.247
12/7/1976,0.25
1/4/1977,0.256
2/1/1977,0.268
3/1/1977,0.272
3/29/1977,0.274
4/26/1977,0.276
5/25/1977,0.276
6/21/1977,0.284
7/19/1977,0.3
8/16/1977,0.308
9/13/1977,0.299
10/11/1977,0.304
11/7/1977,0.31
12/6/1977,0.309
1/3/1978,0.31
2/2/1978,0.296
2/28/1978,0.295
3/28/1978,0.297
4/25/1978,0.307
5/23/1978,0.327
6/20/1978,0.335
7/19/1978,0.362
8/15/1978,0.38
8/29/1978,0.392
9/10/1978,0.391
9/13/1978,0.373
10/10/1978,0.373
11/7/1978,0.382
12/5/1978,0.36
1/3/1979,0.346
1/31/1979,0.322
2/27/1979,0.309
3/29/1979,0.299
4/23/1979,0.292
5/22/1979,0.292
6/19/1979,0.292
7/17/1979,0.292
7/22/1979,0.292
7/27/1979,0.288
8/14/1979,0.293
8/30/1979,0.294
9/8/1979,0.289
9/11/1979,0.289
9/17/1979,0.29
10/9/1979,0.292
11/8/1979,0.293
12/5/1979,0.294
1/2/1980,0.291
2/5/1980,0.287
3/4/1980,0.288
4/1/1980,0.287
4/29/1980,0.295
5/27/1980,0.293
6/24/1980,0.309
7/22/1980,0.355
8/19/1980,0.391
9/15/1980,0.413
10/15/1980,0.418
11/10/1980,0.422
12/8/1980,0.424
1/5/1981,0.423
2/4/1981,0.416
3/2/1981,0.408
3/30/1981,0.408
4/27/1981,0.416
5/26/1981,0.402
6/23/1981,0.389
7/20/1981,0.382
8/17/1981,0.383
9/15/1981,0.376
10/13/1981,0.368
11/12/1981,0.353
12/8/1981,0.35
1/5/1982,0.34
2/3/1982,0.339
3/1/1982,0.335
3/31/1982,0.338
4/27/1982,0.334
5/25/1982,0.331
6/22/1982,0.337
7/20/1982,0.348
8/17/1982,0.347
9/14/1982,0.37
10/12/1982,0.399
11/9/1982,0.4
12/8/1982,0.366
1/3/1983,0.352
2/1/1983,0.348
3/2/1983,0.343
3/29/1983,0.342
4/26/1983,0.352
5/24/1983,0.347
6/22/1983,0.347
7/19/1983,0.344
8/16/1983,0.344
9/13/1983,0.346
10/13/1983,0.349
11/8/1983,0.348
12/6/1983,0.344
1/3/1984,0.345
1/31/1984,0.342
2/28/1984,0.342
3/26/1984,0.343
4/24/1984,0.347
5/21/1984,0.35
6/19/1984,0.353
7/17/1984,0.356
8/14/1984,0.358
9/11/1984,0.357
10/9/1984,0.358
11/6/1984,0.353
12/5/1984,0.354
1/2/1985,0.353
1/29/1985,0.352
2/26/1985,0.351
3/26/1985,0.351
4/23/1985,0.356
5/21/1985,0.363
6/19/1985,0.382
7/16/1985,0.385
8/13/1985,0.403
9/10/1985,0.413
10/8/1985,0.406
11/5/1985,0.388
12/3/1985,0.375
12/19/1985,0.368
1/16/1986,0.366
2/13/1986,0.36
3/14/1986,0.363
4/10/1986,0.378
5/8/1986,0.381
6/5/1986,0.378
7/3/1986,0.372
7/31/1986,0.387
8/28/1986,0.393
9/25/1986,0.375
10/23/1986,0.371
11/20/1986,0.371
12/18/1986,0.365
1/15/1987,0.365
2/11/1987,0.365
3/6/1987,0.362
4/2/1987,0.367
5/1/1987,0.379
5/28/1987,0.371
6/25/1987,0.368
7/23/1987,0.37
8/20/1987,0.381
9/17/1987,0.388
10/15/1987,0.394
11/12/1987,0.401
12/9/1987,0.399
1/7/1988,0.387
2/8/1988,0.385
3/3/1988,0.384
3/31/1988,0.377
4/28/1988,0.38
5/26/1988,0.381
6/23/1988,0.39
7/21/1988,0.399
