DATE,CUMULATIVE_COMPACTION
6/24/1980,0.0
7/22/1980,0.007
8/19/1980,0.017
9/5/1980,0.02
10/14/1980,0.033
11/10/1980,0.041
12/9/1980,0.049
1/6/1981,0.053
2/5/1981,0.057
3/4/1981,0.058
3/30/1981,0.062
4/27/1981,0.069
5/26/1981,0.073
6/22/1981,0.075
7/20/1981,0.08
8/18/1981,0.093
9/15/1981,0.099
10/13/1981,0.104
11/12/1981,0.109
12/8/1981,0.113
1/5/1982,0.117
2/2/1982,0.122
3/3/1982,0.127
3/31/1982,0.134
4/28/1982,0.138
5/25/1982,0.141
6/22/1982,0.155
7/21/1982,0.169
8/17/1982,0.179
9/2/1982,0.186
9/15/1982,0.19
10/14/1982,0.204
11/10/1982,0.212
12/8/1982,0.215
1/5/1983,0.218
2/1/1983,0.221
3/1/1983,0.225
3/29/1983,0.23
4/26/1983,0.234
5/24/1983,0.236
6/21/1983,0.24
7/19/1983,0.245
8/17/1983,0.25
9/13/1983,0.254
10/11/1983,0.262
11/8/1983,0.265
12/5/1983,0.266
1/3/1984,0.268
1/31/1984,0.273
2/28/1984,0.277
3/27/1984,0.281
4/24/1984,0.289
5/22/1984,0.294
6/19/1984,0.301
7/17/1984,0.306
8/14/1984,0.312
9/11/1984,0.318
10/9/1984,0.324
11/6/1984,0.326
12/5/1984,0.329
1/2/1985,0.331
1/29/1985,0.334
2/26/1985,0.336
3/26/1985,0.34
4/23/1985,0.345
5/21/1985,0.351
6/18/1985,0.358
7/17/1985,0.363
8/13/1985,0.371
9/10/1985,0.381
10/8/1985,0.393
11/5/1985,0.397
12/3/1985,0.398
12/19/1985,0.399
1/16/1986,0.404
2/12/1986,0.405
3/13/1986,0.41
4/10/1986,0.416
5/9/1986,0.421
6/5/1986,0.423
7/3/1986,0.427
7/31/1986,0.434
8/28/1986,0.443
9/25/1986,0.449
10/23/1986,0.451
11/20/1986,0.454
12/17/1986,0.453
1/15/1987,0.456
2/12/1987,0.461
3/6/1987,0.463
4/2/1987,0.465
4/30/1987,0.471
5/28/1987,0.476
6/25/1987,0.478
7/23/1987,0.479
8/20/1987,0.487
9/17/1987,0.497
10/15/1987,0.507
11/12/1987,0.515
12/9/1987,0.516
1/7/1988,0.514
2/4/1988,0.516
3/3/1988,0.517
3/31/1988,0.517
4/28/1988,0.524
5/26/1988,0.528
6/23/1988,0.535
7/21/1988,0.551
8/18/1988,0.561
9/14/1988,0.579
10/13/1988,0.596
11/9/1988,0.609
12/8/1988,0.61
1/5/1989,0.611
2/2/1989,0.61
3/2/1989,0.609
3/29/1989,0.609
4/27/1989,0.612
5/25/1989,0.609
6/22/1989,0.627
7/20/1989,0.616
8/17/1989,0.62
9/14/1989,0.627
10/12/1989,0.659
11/8/1989,0.687
12/7/1989,0.688
1/4/1990,0.688
2/1/1990,0.669
3/1/1990,0.656
3/29/1990,0.657
4/26/1990,0.66
5/24/1990,0.664
6/21/1990,0.687
7/19/1990,0.708
8/16/1990,0.738
9/14/1990,0.76
10/11/1990,0.769
11/7/1990,0.772
12/6/1990,0.768
1/3/1991,0.761
1/31/1991,0.726
2/28/1991,0.724
3/27/1991,0.727
4/25/1991,0.727
5/23/1991,0.734
6/24/1991,0.739
7/18/1991,0.746
8/15/1991,0.773
9/13/1991,0.789
10/10/1991,0.793
11/8/1991,0.806
12/6/1991,0.787
1/2/1992,0.765
1/30/1992,0.761
2/27/1992,0.76
3/25/1992,0.763
4/23/1992,0.763
5/21/1992,0.764
6/17/1992,0.766
7/16/1992,0.78
8/13/1992,0.78
9/10/1992,0.792
10/8/1992,0.8
11/5/1992,0.809
12/2/1992,0.796
12/30/1992,0.781
1/28/1993,0.779
2/25/1993,0.778
3/25/1993,0.777
4/23/1993,0.783
5/19/1993,0.783
6/16/1993,0.787
7/15/1993,0.788
8/12/1993,0.794
9/10/1993,0.804
10/7/1993,0.81
11/5/1993,0.806
12/2/1993,0.804
12/29/1993,0.804
1/27/1994,0.805
2/24/1994,0.805
3/24/1994,0.805
4/21/1994,0.805
5/20/1994,0.804
6/16/1994,0.804
7/14/1994,0.804
8/11/1994,0.805
9/9/1994,0.807
10/5/1994,0.81
11/3/1994,0.813
12/1/1994,0.813
12/29/1994,0.813
1/27/1995,0.811
2/23/1995,0.814
3/23/1995,0.813
4/20/1995,0.813
5/21/1995,0.815
6/16/1995,0.816
7/14/1995,0.817
8/11/1995,0.819
9/8/1995,0.819
10/9/1995,0.821
11/3/1995,0.822
11/30/1995,0.823
1/3/1996,0.822
1/25/1996,0.823
2/22/1996,0.825
3/21/1996,0.826
4/18/1996,0.826
5/16/1996,0.825
6/13/1996,0.827
7/11/1996,0.829
8/8/1996,0.834
9/5/1996,0.834
10/3/1996,0.835
10/30/1996,0.837
11/27/1996,0.837
12/23/1996,0.838
1/24/1997,0.838
2/19/1997,0.838
3/20/1997,0.836
4/17/1997,0.837
5/15/1997,0.837
6/14/1997,0.839
7/10/1997,0.84
8/8/1997,0.842
9/5/1997,0.844
10/2/1997,0.845
10/30/1997,0.845
11/25/1997,0.846
12/23/1997,0.845
1/23/1998,0.842
2/18/1998,0.842
3/19/1998,0.841
4/15/1998,0.841
5/13/1998,0.843
6/11/1998,0.845
7/9/1998,0.846
8/7/1998,0.85
9/4/1998,0.853
10/5/1998,0.854
10/27/1998,0.853
11/24/1998,0.852
12/16/1998,0.852
1/14/1999,0.852
2/16/1999,0.854
3/15/1999,0.855
4/8/1999,0.84
5/7/1999,0.843
6/4/1999,0.843
7/2/1999,0.842
7/28/1999,0.844
8/27/1999,0.847
9/27/1999,0.849
10/25/1999,0.853
11/22/1999,0.855
12/17/1999,0.856
1/12/2000,0.857
2/11/2000,0.857
3/11/2000,0.858
4/6/2000,0.856
5/8/2000,0.857
5/31/2000,0.859
6/29/2000,0.861
7/27/2000,0.864
8/23/2000,0.866
9/21/2000,0.871
