DATE,CUMULATIVE_COMPACTION
7/22/1980,0.0
8/19/1980,0.008
9/16/1980,0.014
10/14/1980,0.002
11/10/1980,0.025
12/9/1980,0.026
1/6/1981,0.003
2/5/1981,0.032
3/5/1981,0.034
3/30/1981,0.038
4/27/1981,0.045
5/27/1981,0.048
6/23/1981,0.049
7/21/1981,0.053
8/18/1981,0.059
9/14/1981,0.063
10/14/1981,0.068
11/12/1981,0.071
12/8/1981,0.074
1/5/1982,0.076
2/2/1982,0.078
3/4/1982,0.084
3/30/1982,0.087
4/28/1982,0.091
5/26/1982,0.091
6/23/1982,0.1
7/20/1982,0.104
8/17/1982,0.109
9/14/1982,0.115
10/14/1982,0.121
11/10/1982,0.125
12/8/1982,0.121
1/5/1983,0.119
2/11/1983,0.121
3/1/1983,0.119
3/30/1983,0.122
4/26/1983,0.126
5/24/1983,0.127
6/21/1983,0.125
7/20/1983,0.124
8/17/1983,0.134
9/13/1983,0.137
10/11/1983,0.142
11/7/1983,0.145
12/5/1983,0.15
1/3/1984,0.15
1/31/1984,0.151
2/28/1984,0.153
3/26/1984,0.157
4/24/1984,0.163
5/22/1984,0.166
6/19/1984,0.173
7/17/1984,0.18
8/24/1984,0.186
9/11/1984,0.192
10/9/1984,0.198
11/7/1984,0.196
12/5/1984,0.199
1/2/1985,0.198
1/29/1985,0.2
2/26/1985,0.199
3/27/1985,0.2
4/23/1985,0.208
5/21/1985,0.215
6/18/1985,0.223
7/16/1985,0.229
8/13/1985,0.232
9/10/1985,0.237
10/8/1985,0.214
11/5/1985,0.214
12/3/1985,0.213
12/19/1985,0.212
1/16/1986,0.217
2/12/1986,0.214
3/13/1986,0.219
4/11/1986,0.224
5/9/1986,0.227
6/5/1986,0.227
7/2/1986,0.228
7/31/1986,0.237
8/29/1986,0.244
9/25/1986,0.248
10/23/1986,0.248
11/21/1986,0.25
12/17/1986,0.248
1/16/1987,0.25
2/12/1987,0.254
3/6/1987,0.254
4/2/1987,0.26
4/30/1987,0.266
5/28/1987,0.269
6/25/1987,0.269
7/23/1987,0.278
8/20/1987,0.284
9/17/1987,0.289
10/15/1987,0.294
11/12/1987,0.299
12/9/1987,0.299
1/7/1988,0.299
2/4/1988,0.299
3/3/1988,0.3
3/31/1988,0.3
4/28/1988,0.306
5/26/1988,0.309
6/23/1988,0.313
7/21/1988,0.318
8/18/1988,0.324
9/14/1988,0.33
10/13/1988,0.335
11/9/1988,0.337
12/8/1988,0.342
1/5/1989,0.345
2/2/1989,0.346
3/2/1989,0.347
3/29/1989,0.349
4/27/1989,0.354
5/25/1989,0.356
6/22/1989,0.361
7/20/1989,0.364
8/17/1989,0.367
9/14/1989,0.37
10/12/1989,0.377
11/8/1989,0.38
12/7/1989,0.383
1/4/1990,0.389
2/1/1990,0.394
3/1/1990,0.394
3/29/1990,0.395
4/26/1990,0.399
5/24/1990,0.401
6/21/1990,0.406
7/19/1990,0.413
8/16/1990,0.419
9/13/1990,0.425
10/11/1990,0.432
11/7/1990,0.435
12/6/1990,0.438
1/3/1991,0.438
1/31/1991,0.436
2/28/1991,0.436
3/28/1991,0.44
4/25/1991,0.437
5/23/1991,0.44
6/25/1991,0.443
7/18/1991,0.45
8/15/1991,0.454
9/13/1991,0.454
10/10/1991,0.457
11/8/1991,0.459
12/6/1991,0.458
1/2/1992,0.45
1/30/1992,0.444
