DATE,CUMULATIVE_COMPACTION
7/24/1973,1.347
8/24/1973,1.357
9/24/1973,1.367
10/24/1973,1.38
11/21/1973,1.395
12/20/1973,1.4
1/21/1974,1.405
2/22/1974,1.42
3/22/1974,1.43
4/24/1974,1.435
5/24/1974,1.455
6/24/1974,1.475
7/24/1974,1.485
8/23/1974,1.501
9/24/1974,1.507
10/24/1974,1.524
11/22/1974,1.527
12/20/1974,1.535
1/24/1975,1.544
2/24/1975,1.555
3/24/1975,1.565
4/24/1975,1.576
5/23/1975,1.585
6/25/1975,1.598
7/24/1975,1.609
8/25/1975,1.621
9/24/1975,1.633
10/24/1975,1.647
10/25/1975,1.641
11/24/1975,1.654
12/24/1975,1.665
1/23/1976,1.673
2/24/1976,1.685
3/24/1976,1.693
4/23/1976,1.705
5/24/1976,1.716
6/21/1976,1.725
7/29/1976,1.734
8/15/1976,1.752
8/16/1976,1.742
10/12/1976,1.758
11/9/1976,1.763
12/7/1976,1.765
1/4/1977,1.768
2/1/1977,1.774
3/1/1977,1.781
3/29/1977,1.788
4/26/1977,1.791
5/24/1977,1.797
6/21/1977,1.806
7/19/1977,1.816
8/16/1977,1.819
9/13/1977,1.818
10/11/1977,1.826
11/7/1977,1.828
12/6/1977,1.829
1/3/1978,1.837
2/2/1978,1.83
2/28/1978,1.832
3/28/1978,1.841
4/25/1978,1.847
5/23/1978,1.857
6/20/1978,1.862
7/19/1978,1.875
8/15/1978,1.876
9/13/1978,1.877
10/10/1978,1.883
11/7/1978,1.88
12/5/1978,1.866
1/3/1979,1.856
2/1/1979,1.844
2/27/1979,1.841
3/28/1979,1.845
4/23/1979,1.845
5/22/1979,1.855
6/19/1979,1.862
7/17/1979,1.869
7/25/1979,1.868
7/27/1979,1.865
8/14/1979,1.873
9/11/1979,1.876
9/17/1979,1.876
9/20/1979,1.874
10/9/1979,1.881
11/8/1979,1.888
12/5/1979,1.892
1/2/1980,1.897
2/6/1980,1.896
3/4/1980,1.899
4/1/1980,1.9
4/29/1980,1.906
5/27/1980,1.909
6/24/1980,1.919
7/22/1980,1.933
8/19/1980,1.937
9/15/1980,1.946
10/15/1980,1.95
11/10/1980,1.952
12/9/1980,1.951
1/6/1981,1.953
2/3/1981,1.951
3/4/1981,1.952
3/31/1981,1.955
4/27/1981,1.958
5/26/1981,1.961
6/23/1981,1.963
7/21/1981,1.969
8/18/1981,1.977
9/15/1981,1.974
10/13/1981,1.976
11/10/1981,1.977
12/8/1981,1.979
1/6/1982,1.977
2/2/1982,1.976
3/2/1982,1.975
3/30/1982,1.979
4/27/1982,1.979
5/25/1982,1.98
6/22/1982,1.99
7/20/1982,1.996
8/17/1982,2.002
9/14/1982,2.008
10/12/1982,2.012
11/9/1982,2.015
12/7/1982,2.009
1/4/1983,2.005
2/1/1983,2.004
3/2/1983,2.004
3/29/1983,2.007
4/26/1983,2.013
5/25/1983,2.014
6/21/1983,2.022
7/19/1983,2.021
8/16/1983,2.024
9/13/1983,2.023
10/11/1983,2.03
11/8/1983,2.029
12/6/1983,2.029
1/4/1984,2.032
1/31/1984,2.029
2/28/1984,2.031
3/26/1984,2.033
4/23/1984,2.038
5/22/1984,2.043
6/19/1984,2.047
7/17/1984,2.052
8/14/1984,2.056
9/11/1984,2.06
10/9/1984,2.06
11/6/1984,2.06
12/5/1984,2.064
1/2/1985,2.064
1/30/1985,2.064
2/26/1985,2.058
3/27/1985,2.059
4/23/1985,2.065
5/21/1985,2.071
6/18/1985,2.077
7/16/1985,2.081
8/13/1985,2.087
9/10/1985,2.092
10/8/1985,2.094
11/5/1985,2.09
12/3/1985,2.088
12/19/1985,2.088
1/16/1986,2.091
2/13/1986,2.09
