title,category,url,notes
Texas State Water Plan 2022,plan,https://www.twdb.texas.gov/waterplanning/swp/2022/docs/2022-State-Water-Plan-Full.pdf,Statewide planning PDF
Region H Water Plan 2021,plan,https://www.twdb.texas.gov/waterplanning/rwp/plans/2021/H/2021_RWP_Region_H.pdf,Houston-region planning PDF
Harris-Galveston Subsidence District Regulatory Plan (amended 2021),plan,https://hgsubsidence.org/wp-content/uploads/2021/05/2013-Regulatory-Plan-Amended-April-14-2021-FINAL-with-Bookmarks.pdf,HGSD regulatory plan PDF
Texas Tribune Groundwater Rights and Water Crisis,news,https://www.texastribune.org/2025/05/29/texas-water-crisis-groundwater-rights/,Current Texas Tribune groundwater policy article
Texas Tribune Groundwater Pumping on Gulf Coast Leads to Subsidence,news,https://www.texastribune.org/2013/12/20/groundwater-pumping-gulf-coast-leads-consequences/,Texas Tribune subsidence article
ProPublica Climate Migration,news,https://projects.propublica.org/climate-migration/,Broad climate piece; HTML
USGS Houston-Galveston Bay Area Texas From Space Fact Sheet,technical,https://pubs.usgs.gov/fs/fs-110-02/pdf/FS_110-02.pdf,USGS subsidence fact sheet PDF
USGS Water Data for Texas,technical,https://waterdata.usgs.gov/tx/nwis/,HTML/API landing page
BEG Hydrogeology of Gulf Coast Aquifers Houston-Galveston Area,technical,https://www.beg.utexas.edu/files/publications/contract-reports/CR1977-Kreitler-1.pdf,BEG Gulf Coast aquifer report PDF
NASA Earth Observatory Sinking Land in Houston,technical,https://earthobservatory.nasa.gov/images/146558/sinking-land-in-houston,HTML article page
Texas Administrative Code Groundwater,legal,https://texreg.sos.state.tx.us/public/readtac$ext.ViewTAC?tac_view=5&ti=31&pt=10,Legal HTML page
Edwards Aquifer Authority v. Day,legal,https://caselaw.findlaw.com/tx-supreme-court/1606144.html,Case HTML page
Texas Water Code Chapter 36,legal,https://statutes.capitol.texas.gov/Docs/WA/htm/WA.36.htm,Legal HTML page
City of Houston 2019 Water Conservation Plan,stakeholder,https://www.houstonpublicworks.org/sites/g/files/nwywnm456/files/doc/2019_water_conservation_plan_with_ordinance_in_appendix_01132020.pdf,Municipal water planning PDF
Sierra Club Texas Water,stakeholder,https://www.sierraclub.org/texas/water,Advocacy HTML page
